"","CN","PLT_CN","INVYR","STATECD","UNITCD","COUNTYCD","PLOT","CYCLE","CONDID","COND_STATUS_CD","FORTYPCD","FLDTYPCD","FORTYPCDCALC","MAPDEN","STDAGE","STDSZCD","FLDSZCD","DSTRBCD1","DSTRBYR1","DSTRBCD2","DSTRBYR2","DSTRBCD3","DSTRBYR3","TRTCD1","TRTYR1","TRTCD2","TRTYR2","TRTCD3","TRTYR3","BALIVE","LIVE_CANOPY_CVR_PCT","LIVE_MISSING_CANOPY_CVR_PCT","CRCOVPCT_RMRS","LAND_COVER_CLASS_CD"
"1",3642339010690,3642338010690,2002,8,1,13,80352,"2",1,1,221,221,221,1,121,1,3,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,39.137,15,15,38,NA
"2",3642340010690,3642338010690,2002,8,1,13,80352,"2",2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",3642359010690,3642358010690,2002,8,1,13,81273,"2",1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",3642365010690,3642364010690,2002,8,1,13,81514,"2",1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",3642371010690,3642370010690,2002,8,1,13,83636,"2",1,1,221,221,221,1,73,2,2,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,45.5444,37,60,37,NA
"6",3642372010690,3642370010690,2002,8,1,13,83636,"2",2,1,265,265,999,1,28,3,1,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,37,37,14,NA
"7",3642455010690,3642454010690,2002,8,1,13,84355,"2",1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",3642461010690,3642460010690,2002,8,1,13,87183,"2",1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",3642467010690,3642466010690,2002,8,1,13,87792,"2",1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",3642473010690,3642472010690,2002,8,1,13,90418,"2",1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11",3642993010690,3642992010690,2002,8,1,19,80184,"2",1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",3642999010690,3642998010690,2002,8,1,19,80575,"2",1,1,365,365,365,1,733,1,3,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,273.5743,40,55,40,NA
"13",3643051010690,3643050010690,2002,8,1,19,87825,"2",1,1,366,366,366,1,175,1,3,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,104.5701,28,41,28,NA
"14",3643052010690,3643050010690,2002,8,1,19,87825,"2",2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15",3643093010690,3643092010690,2002,8,1,19,89973,"2",1,1,201,201,201,1,57,2,2,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,48.7153,30,30,30,NA
"16",31663447010690,31663446010690,2002,8,1,35,80106,"2",1,1,201,201,201,1,150,1,3,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,154.7966,65,65,65,NA
"17",3645410010690,3645409010690,2002,8,1,35,80399,"2",1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18",3645416010690,3645415010690,2002,8,1,35,81654,"2",1,1,201,201,201,1,104,1,3,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,163.4299,71,73,71,NA
"19",3645482010690,3645481010690,2002,8,1,35,82070,"2",1,1,221,221,221,1,118,1,3,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,107.5553,53,56,53,NA
"20",3645483010690,3645481010690,2002,8,1,35,82070,"2",2,1,221,221,221,1,102,1,3,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,96.1652,36,36,36,NA
"21",3645535010690,3645534010690,2002,8,1,35,82229,"2",1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22",3645536010690,3645534010690,2002,8,1,35,82229,"2",2,1,971,971,971,1,51,3,1,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,187.0619,38,38,38,NA
"23",31663653010690,31663652010690,2002,8,1,35,83929,"2",1,1,201,201,201,1,204,1,3,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,121.6124,53,53,53,NA
"24",3645561010690,3645560010690,2002,8,1,35,84232,"2",1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25",3645567010690,3645566010690,2002,8,1,35,84278,"2",1,1,971,221,971,1,17,3,3,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,91.2819,52,52,52,NA
"26",31663735010690,31663734010690,2002,8,1,35,85101,"2",1,1,971,971,971,1,56,3,1,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,143.377,50,50,50,NA
"27",31663820010690,31663819010690,2002,8,1,35,85492,"2",1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28",31663821010690,31663819010690,2002,8,1,35,85492,"2",2,1,971,971,971,1,21,3,1,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,12.3149,17,17,15,NA
"29",3645735010690,3645734010690,2002,8,1,35,87286,"2",1,1,971,971,971,1,76,2,1,54,2002,0,NA,NA,NA,0,NA,NA,NA,NA,NA,68.5161,51,52,51,NA
"30",3645736010690,3645734010690,2002,8,1,35,87286,"2",2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31",3645775010690,3645774010690,2002,8,1,35,87973,"2",1,1,201,201,201,1,131,1,3,31,1999,0,NA,NA,NA,0,NA,NA,NA,NA,NA,46.8997,18,27,19,NA
"32",3645776010690,3645774010690,2002,8,1,35,87973,"2",2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33",3646391010690,3646390010690,2002,8,1,39,80135,"2",1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34",3646397010690,3646396010690,2002,8,1,39,80221,"2",1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35",3646403010690,3646402010690,2002,8,1,39,81387,"2",1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36",3646409010690,3646408010690,2002,8,1,39,81501,"2",1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37",3646415010690,3646414010690,2002,8,1,39,81784,"2",1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38",3646421010690,3646420010690,2002,8,1,39,82250,"2",1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39",3646427010690,3646426010690,2002,8,1,39,82332,"2",1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40",3646433010690,3646432010690,2002,8,1,39,83032,"2",1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41",3646439010690,3646438010690,2002,8,1,39,83097,"2",1,1,221,221,221,1,108,1,3,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,121.6341,52,52,52,NA
"42",3646467010690,3646466010690,2002,8,1,39,84486,"2",1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43",3646473010690,3646472010690,2002,8,1,39,84713,"2",1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44",3646479010690,3646478010690,2002,8,1,39,84746,"2",1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45",3646485010690,3646484010690,2002,8,1,39,86252,"2",1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46",3646491010690,3646490010690,2002,8,1,39,86419,"2",1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
